year,hauljoin,stationid,stratum,spp,lat,long,wgtcpue_kg_ha
1982,857,J-16,10,40500,58.015,-158.31667,0
1982,858,I-16,10,40500,57.67167,-158.36,0
1982,859,H-16,10,40500,57.33833,-158.41,0
1982,860,F-14,10,40500,56.685,-159.76,0
1982,862,G-14,10,40500,56.99333,-159.72333,0
1982,863,H-14,10,40500,57.31667,-159.66333,0
1982,864,I-14,10,40500,57.65,-159.64167,0
1982,865,J-14,10,40500,57.99667,-159.605,0
1982,866,K-14,10,40500,58.32167,-159.54,0
1982,867,K-12,10,40500,58.33333,-160.72167,0
1982,868,J-12,10,40500,58.00167,-160.85333,0
1982,869,I-12,31,40500,57.675,-160.89,0
1982,870,H-12,31,40500,57.345,-160.94,0
1982,871,G-12,31,40500,57.015,-160.95167,0
1982,872,F-12,31,40500,56.67833,-160.99167,0
1982,873,E-12,10,40500,56.34167,-161.00333,0
1982,874,D-10,31,40500,56.00167,-162.23167,0.181470951
1982,875,E-10,31,40500,56.32333,-162.205,0
1982,876,F-10,31,40500,56.65333,-162.18667,0
1982,877,G-10,31,40500,56.99333,-162.17333,0
1982,878,H-10,10,40500,57.335,-162.15333,0
1982,879,I-10,10,40500,57.665,-162.13667,0
1982,880,J-10,10,40500,57.985,-162.13,0
1982,881,K-10,10,40500,58.31167,-162.065,0
1982,882,M-08,10,40500,58.99167,-163.34667,0
1982,883,L-08,10,40500,58.685,-163.36167,0
1982,884,K-08,10,40500,58.34333,-163.385,0
1982,885,J-08,10,40500,58.01,-163.39167,0
1982,886,I-08,10,40500,57.685,-163.39167,0
1982,887,H-08,10,40500,57.345,-163.4,0
1982,888,G-08,31,40500,57.01667,-163.395,0.196839889
1982,889,F-08,31,40500,56.68167,-163.38,0.138540411
1982,890,E-08,31,40500,56.34,-163.39667,1.283318104
1982,891,D-08,31,40500,56.005,-163.39,0
1982,892,C-08,31,40500,55.68333,-163.4,1.833795485
1982,893,B-08,31,40500,55.35,-163.41667,0.315912754
1982,894,A-06,31,40500,55.00833,-164.57667,7.365509738
1982,895,B-06,31,40500,55.32667,-164.59,4.556987039
1982,896,C-06,31,40500,55.66,-164.58,1.568069143
1982,897,D-06,31,40500,55.985,-164.59167,1.112645675
1982,898,E-06,31,40500,56.31833,-164.58167,0.910376652
1982,899,F-06,31,40500,56.66,-164.61167,1.507394722
1982,900,G-06,31,40500,56.99,-164.605,0
1982,901,H-06,31,40500,57.325,-164.61667,2.751589797
1982,902,I-06,10,40500,57.65667,-164.62,0
1982,903,J-06,10,40500,57.99,-164.625,0
1982,904,K-06,10,40500,58.31833,-164.63,0
1982,905,L-06,10,40500,58.65167,-164.65167,0
1982,906,M-06,10,40500,58.98833,-164.63667,0
1982,907,N-06,10,40500,59.32,-164.655,0
1982,908,O-04,20,40500,59.66167,-165.95167,0
1982,909,N-04,20,40500,59.34167,-165.96167,0
1982,910,M-04,20,40500,59.01667,-165.92833,0
1982,911,L-04,10,40500,58.68167,-165.91833,0
1982,912,K-04,10,40500,58.345,-165.91667,0
1982,913,J-04,10,40500,57.995,-165.9,0
1982,914,I-04,31,40500,57.67667,-165.88833,0
1982,915,H-04,31,40500,57.34667,-165.87667,0.428282562
1982,916,G-04,31,40500,57.01167,-165.85833,5.132035352
1982,917,F-04,31,40500,56.67333,-165.825,1.198942495
1982,918,E-04,31,40500,56.33833,-165.79833,2.612587323
1982,919,D-04,31,40500,56.00667,-165.79167,3.936464622
1982,920,C-04,50,40500,55.68167,-165.80167,3.478710358
1982,921,B-04,50,40500,55.34667,-165.785,13.7379978
1982,922,A-04,50,40500,55.00833,-165.74,5.017772044
1982,923,A-02,50,40500,55.00333,-166.94,0
1982,924,B-02,50,40500,55.33,-166.97167,0
1982,925,C-02,50,40500,55.66333,-166.96833,2.196309497
1982,926,D-02,50,40500,56.00667,-167.025,0.809153243
1982,927,E-02,50,40500,56.32667,-167.01333,0
1982,928,J-18,42,40500,58.00633,-168.44367,0
1982,929,K-18,41,40500,58.3255,-168.46967,0
1982,930,L-18,20,40500,58.65367,-168.491,0
1982,931,M-18,20,40500,58.984,-168.523,0
1982,932,N-18,20,40500,59.33483,-168.553,0
1982,933,O-18,20,40500,59.661,-168.62333,0
1982,934,P-18,20,40500,59.98867,-168.65333,0
1982,935,Q-18,20,40500,60.3205,-168.67417,0
1982,936,O-02,20,40500,59.67167,-167.305,0
1982,937,N-02,20,40500,59.32117,-167.26817,0
1982,938,M-02,20,40500,59.00933,-167.24767,0
1982,939,L-02,20,40500,58.678,-167.22717,0
1982,940,K-02,20,40500,58.35133,-167.19083,0
1982,941,J-02,31,40500,57.9975,-167.16883,0
1982,942,I-02,31,40500,57.67667,-167.14667,0
1982,943,H-02,31,40500,57.34333,-167.135,0
1982,944,G-02,31,40500,57.00833,-167.08167,0
1982,945,F-02,31,40500,56.66333,-167.07667,0
1982,946,JI1918,42,40500,57.83583,-168.68383,0
1982,947,I-18,42,40500,57.66867,-168.41833,0
1982,948,IH1918,42,40500,57.50883,-168.641,0
1982,949,H-18,32,40500,57.34217,-168.38783,0
1982,950,HG1918,32,40500,57.17667,-168.62167,0
1982,951,G-18,32,40500,57.01283,-168.34083,0
1982,952,GF1918,32,40500,56.85233,-168.64883,0
1982,953,F-18,50,40500,56.66,-168.31667,0
1982,954,E-18,50,40500,56.345,-168.26333,0
